geo,time,Channel0_impression,Channel1_impression,Channel2_impression,Channel3_impression,competitor_activity_score_control,sentiment_score_control,Channel0_spend,Channel1_spend,Channel2_spend,Channel3_spend,conversions,revenue_per_conversion,population,Channel3_reach,Channel3_frequency
Geo0,2021-07-26,799264.0,0.0,24035.0,119184.0,-6.3752327,-2.8423827,8886.23,0.0,287.0316,1401.6763,4515535.5,0.034544267,487878.0,105396.0,1.1308209
Geo0,2021-08-02,982391.0,602074.0,1118258.0,894369.0,0.67196715,-5.2118034,10922.239,6883.871,13354.499,10518.322,8580429.0,0.03526869,487878.0,409934.0,2.181739
Geo0,2021-08-09,767845.0,1412655.0,719930.0,310371.0,-0.45385385,-0.15686283,8536.913,16151.728,8597.572,3650.1514,11538626.0,0.034692287,487878.0,229993.0,1.3494802
Geo0,2021-08-16,1001167.0,885129.0,819632.0,442693.0,1.4696546,4.4966373,11130.991,10120.208,9788.237,5206.3384,14107673.0,0.034607712,487878.0,290828.0,1.5221815
Geo0,2021-08-23,973894.0,609269.0,193551.0,236089.0,0.86223054,0.89282745,10827.77,6966.136,2311.4314,2776.55,9759205.0,0.034956228,487878.0,187018.0,1.2623866
Geo0,2021-08-30,800941.0,496539.0,395112.0,364182.0,-0.5929203,1.690523,8904.875,5677.2266,4718.52,4283.0015,11797897.0,0.034625452,487878.0,256714.0,1.4186293
Geo0,2021-09-06,986920.0,601211.0,288628.0,85347.0,-1.3852,-1.4270362,10972.593,6874.004,3446.863,1003.73254,7631375.5,0.034500923,487878.0,78161.0,1.0919384
Geo0,2021-09-13,1045411.0,949066.0,870574.0,591383.0,-0.92535406,-0.9956669,11622.896,10851.238,10396.599,6955.0234,9940456.0,0.0353466,487878.0,342930.0,1.7245007
Geo0,2021-09-20,684107.0,1246042.0,468040.0,524557.0,1.9412694,1.7110512,7605.9126,14246.742,5589.4434,6169.109,13809554.0,0.03484658,487878.0,321296.0,1.6326284
Geo0,2021-09-27,1037065.0,888461.0,707844.0,499409.0,0.01974862,0.5250268,11530.105,10158.305,8453.238,5873.353,10230962.0,0.0348124,487878.0,312957.0,1.5957751
Geo0,2021-10-04,999555.0,928263.0,400748.0,726031.0,1.1954521,-0.6759536,11113.068,10613.385,4785.826,8538.565,10211041.0,0.03490834,487878.0,377778.0,1.9218457
Geo0,2021-10-11,1420469.0,427347.0,960642.0,188009.0,4.009613,-1.9887056,15792.797,4886.1133,11472.212,2211.1,11526324.0,0.034622807,487878.0,156951.0,1.1978834
Geo0,2021-10-18,1429006.0,498451.0,795100.0,0.0,-3.020487,-2.9955044,15887.712,5699.088,9495.2705,0.0,7982989.0,0.035284333,487878.0,0.0,0.0
Geo0,2021-10-25,1710719.0,637181.0,462917.0,849718.0,0.80901456,3.1521616,19019.8,7285.2705,5528.263,9993.2,16495571.0,0.03494097,487878.0,402415.0,2.1115465
Geo0,2021-11-01,1071116.0,260321.0,581573.0,550943.0,1.0499256,-0.20981804,11908.685,2976.4053,6945.281,6479.4243,10241399.0,0.03525566,487878.0,330156.0,1.6687354
Geo0,2021-11-08,705460.0,1462389.0,689886.0,459329.0,2.9826574,-2.572803,7843.316,16720.365,8238.78,5401.988,10495561.0,0.035146244,487878.0,297892.0,1.5419313
Geo0,2021-11-15,1111544.0,481646.0,331062.0,0.0,6.557312,0.93903875,12358.164,5506.9463,3953.6199,0.0,12906735.0,0.03539048,487878.0,0.0,0.0
Geo0,2021-11-22,1106783.0,849458.0,160554.0,519251.0,-0.6377488,0.77324605,12305.231,9712.36,1917.3734,6106.707,11255934.0,0.0352544,487878.0,319241.0,1.6265173
Geo0,2021-11-29,994506.0,499607.0,0.0,752403.0,0.110067114,3.9709153,11056.934,5712.305,0.0,8848.716,12940387.0,0.034830816,487878.0,383334.0,1.962787
Geo0,2021-12-06,1109878.0,742289.0,674555.0,407486.0,0.17077251,3.7500615,12339.642,8487.033,8055.6934,4792.2827,14121214.0,0.035291042,487878.0,276498.0,1.4737394
Geo0,2021-12-13,639144.0,1107794.0,448510.0,491035.0,-8.984646,0.96255565,7106.013,12666.07,5356.2114,5774.8696,6763680.0,0.035004158,487878.0,309683.0,1.5856053
Geo0,2021-12-20,537626.0,831722.0,1068308.0,302926.0,-1.2017881,2.4133317,5977.3345,9509.574,12757.984,3562.5938,12455675.0,0.03472023,487878.0,226032.0,1.3401908
Geo0,2021-12-27,1019623.0,752009.0,604501.0,412051.0,1.4421813,0.7018125,11336.185,8598.168,7219.0923,4845.97,10854740.0,0.034597635,487878.0,278389.0,1.4801267
Geo0,2022-01-03,1152384.0,1467891.0,561045.0,925215.0,-0.40018523,0.021652488,12812.224,16783.273,6700.1304,10881.091,12945586.0,0.034734663,487878.0,414962.0,2.2296379
Geo0,2022-01-10,1356721.0,697909.0,23016.0,0.0,-2.8459795,0.17685345,15084.046,7979.61,274.86246,0.0,11006675.0,0.035105214,487878.0,0.0,0.0
Geo0,2022-01-17,1101688.0,1041115.0,363664.0,265774.0,-1.1298555,3.042983,12248.585,11903.689,4342.9604,3125.6636,14251472.0,0.034579296,487878.0,204589.0,1.299063
Geo0,2022-01-24,1378612.0,1054988.0,223519.0,308406.0,-1.5304012,7.077758,15327.431,12062.308,2669.3162,3627.042,15035441.0,0.034772977,487878.0,228789.0,1.3479931
Geo0,2022-01-31,1051211.0,416144.0,247132.0,276846.0,2.8373485,4.0836153,11687.381,4758.0225,2951.308,3255.8772,15764402.0,0.03464894,487878.0,210837.0,1.3130807
Geo0,2022-02-07,1265498.0,189574.0,754651.0,935025.0,-0.468247,-1.3622383,14069.827,2167.5127,9012.219,10996.462,10198886.0,0.03458928,487878.0,415971.0,2.247813
Geo0,2022-02-14,1005040.0,410268.0,335683.0,574002.0,-1.4934696,0.7031538,11174.051,4690.839,4008.805,6750.6123,10934939.0,0.0345036,487878.0,337697.0,1.6997545
Geo0,2022-02-21,993135.0,639579.0,544728.0,305128.0,2.6873255,2.97574,11041.691,7312.6885,6505.269,3588.4907,11504179.0,0.034682382,487878.0,227023.0,1.34404
Geo0,2022-02-28,1330706.0,530351.0,216884.0,0.0,1.3808153,1.2278712,14794.811,6063.8193,2590.0793,0.0,10445889.0,0.034822594,487878.0,0.0,0.0
Geo0,2022-03-07,1470149.0,402688.0,327250.0,537466.0,0.42699993,1.3780915,16345.141,4604.1724,3908.096,6320.927,11645227.0,0.034795795,487878.0,326022.0,1.6485574
Geo0,2022-03-14,1244850.0,619706.0,401256.0,546039.0,-1.4846193,4.322425,13840.263,7085.4683,4791.893,6421.7505,12877754.0,0.035253845,487878.0,328462.0,1.6624115
Geo0,2022-03-21,681003.0,1107002.0,690672.0,468091.0,-0.7599183,0.8022772,7571.4023,12657.015,8248.167,5505.0347,10089079.0,0.03494923,487878.0,300971.0,1.5552695
Geo0,2022-03-28,1101470.0,0.0,622588.0,445056.0,-3.2713015,0.22938493,12246.161,0.0,7435.0913,5234.129,6656772.0,0.035161577,487878.0,292351.0,1.5223345
Geo0,2022-04-04,1310684.0,707608.0,649852.0,829827.0,2.0314033,-5.059271,14572.206,8090.5044,7760.6846,9759.27,6294681.5,0.03510435,487878.0,398560.0,2.082063
Geo0,2022-04-11,1352505.0,524565.0,379972.0,816498.0,0.63692594,1.2940869,15037.173,5997.6646,4537.7144,9602.513,13303138.0,0.03494343,487878.0,396479.0,2.0593727
Geo0,2022-04-18,1082708.0,829247.0,239723.0,93410.0,-3.0412254,0.9948337,12037.565,9481.275,2862.8281,1098.5583,9842364.0,0.0345984,487878.0,85291.0,1.0951917
Geo0,2022-04-25,1065568.0,1034446.0,555667.0,850357.0,-1.6489052,-3.47333,11847.002,11827.438,6635.9053,10000.715,7795099.5,0.0349396,487878.0,402743.0,2.1114135
Geo0,2022-05-02,700105.0,14509.0,433027.0,1073652.0,0.82436675,-1.050614,7783.779,165.89006,5171.3096,12626.8,9897081.0,0.03451095,487878.0,433949.0,2.4741433
Geo0,2022-05-09,614591.0,1185463.0,895044.0,865066.0,2.3604228,-2.0860896,6833.0327,13554.105,10688.825,10173.701,9220324.0,0.03476889,487878.0,404985.0,2.1360445
Geo0,2022-05-16,1035152.0,828758.0,489486.0,1208444.0,-7.4171505,3.8044777,11508.837,9475.685,5845.556,14212.035,13288967.0,0.034814637,487878.0,447060.0,2.7030914
Geo0,2022-05-23,921036.0,703289.0,392902.0,564475.0,0.38071847,-0.42849362,10240.093,8041.123,4692.1274,6638.569,11747777.0,0.035266384,487878.0,334655.0,1.6867371
Geo0,2022-05-30,1179182.0,1054036.0,154159.0,632388.0,0.024516806,-1.0092143,13110.165,12051.423,1841.0028,7437.267,9495659.0,0.03465498,487878.0,354389.0,1.7844459
Geo0,2022-06-06,691322.0,816616.0,420137.0,0.0,4.36132,-0.59779185,7686.1294,9336.858,5017.3745,0.0,10503168.0,0.034641933,487878.0,0.0,0.0
Geo0,2022-06-13,1258214.0,1174783.0,567798.0,398163.0,2.7624707,3.3444421,13988.844,13431.995,6780.7764,4682.6387,13680087.0,0.03523669,487878.0,271705.0,1.465424
Geo0,2022-06-20,1025421.0,170398.0,486327.0,12224.0,1.8343467,-1.3772845,11400.647,1948.262,5807.8306,143.76166,9211273.0,0.035459965,487878.0,11922.0,1.0253314
Geo0,2022-06-27,867162.0,189717.0,655409.0,50572.0,-0.17604735,-1.267353,9641.121,2169.1477,7827.0474,594.75745,6604001.0,0.035283204,487878.0,48092.0,1.0515678
Geo0,2022-07-04,954451.0,916259.0,584526.0,203691.0,-0.75003487,5.263368,10611.602,10476.136,6980.5464,2395.5298,13327677.0,0.034505203,487878.0,166623.0,1.2224662
Geo0,2022-07-11,828539.0,246567.0,364025.0,577729.0,0.023797665,5.824371,9211.71,2819.1477,4347.2715,6794.444,13811242.0,0.034904722,487878.0,338474.0,1.7068638
Geo0,2022-07-18,1344101.0,981075.0,671131.0,617479.0,-1.597481,3.969442,14943.736,11217.216,8014.803,7261.928,13766553.0,0.034980044,487878.0,349817.0,1.7651486
Geo0,2022-07-25,1169174.0,0.0,864026.0,954747.0,1.1168487,-0.834834,12998.8955,0.0,10318.4,11228.404,9393653.0,0.035277978,487878.0,418969.0,2.278801
Geo0,2022-08-01,1007566.0,397197.0,658105.0,343049.0,-3.8923137,-0.12129948,11202.135,4541.39,7859.2437,4034.4646,7819833.0,0.035422586,487878.0,246195.0,1.3934036
Geo0,2022-08-08,1064678.0,1349363.0,848502.0,1303524.0,-0.19461945,4.560533,11837.107,15428.072,10133.01,15330.234,15792002.0,0.035459984,487878.0,454094.0,2.8706038
Geo0,2022-08-15,1045597.0,771943.0,440640.0,268319.0,4.149506,-0.8823028,11624.965,8826.085,5262.226,3155.5945,12828282.0,0.03518042,487878.0,207060.0,1.2958515
Geo0,2022-08-22,1101414.0,904718.0,759112.0,317299.0,1.4768502,2.5015118,12245.539,10344.181,9065.493,3731.629,14230725.0,0.03479299,487878.0,233139.0,1.3609864
Geo0,2022-08-29,1532517.0,1141167.0,558555.0,133001.0,-3.9427092,1.7781789,17038.549,13047.644,6670.3945,1564.1725,10095035.0,0.034998357,487878.0,116204.0,1.1445475
Geo0,2022-09-05,1440632.0,611063.0,210219.0,882937.0,-1.5244013,-0.10581997,16016.97,6986.648,2510.4844,10383.875,8995222.0,0.034511592,487878.0,407657.0,2.165882
Geo0,2022-09-12,1189291.0,464198.0,1072365.0,594127.0,3.8329792,3.4175098,13222.557,5307.4526,12806.434,6987.2944,14132497.0,0.035434593,487878.0,343779.0,1.7282237
Geo0,2022-09-19,1045740.0,991352.0,434915.0,638545.0,-2.3535492,0.8615966,11626.555,11334.719,5193.8564,7509.6772,12292168.0,0.034595072,487878.0,355994.0,1.7936959
Geo0,2022-09-26,68688.0,602423.0,1138174.0,147832.0,-0.93044996,-5.065188,763.6743,6887.862,13592.34,1738.5941,7497542.5,0.03507587,487878.0,127610.0,1.1584672
Geo0,2022-10-03,1377105.0,1129746.0,1128684.0,1204326.0,-7.1396055,-0.7934401,15310.676,12917.061,13479.009,14163.605,7715969.5,0.035317607,487878.0,446721.0,2.6959243
Geo0,2022-10-10,632047.0,372336.0,0.0,675203.0,-6.0193563,5.2231956,7027.109,4257.1396,0.0,7940.7974,11140962.0,0.034775995,487878.0,365580.0,1.8469363
Geo0,2022-10-17,830780.0,672983.0,358721.0,335112.0,1.8599405,1.4560406,9236.626,7694.616,4283.93,3941.1206,10936235.0,0.034843788,487878.0,242556.0,1.3815861
Geo0,2022-10-24,1192310.0,207456.0,706796.0,825554.0,-0.88059616,-0.7310949,13256.122,2371.9683,8440.724,9709.017,9995620.0,0.03514465,487878.0,398100.0,2.0737352
Geo0,2022-10-31,821886.0,1259964.0,448093.0,237623.0,0.38552356,-2.0725923,9137.742,14405.92,5351.2314,2794.5908,8332132.5,0.034562606,487878.0,187814.0,1.2652038
Geo0,2022-11-07,1558904.0,974997.0,510514.0,575993.0,-2.3188872,6.4259043,17331.92,11147.723,6096.6777,6774.0273,16866660.0,0.034629375,487878.0,338304.0,1.70259
Geo0,2022-11-14,1459431.0,634123.0,201617.0,534668.0,4.9314585,3.2622523,16225.978,7250.3066,2407.7573,6288.0205,14708398.0,0.034975287,487878.0,324831.0,1.6459882
Geo0,2022-11-21,1317782.0,383807.0,609460.0,978268.0,0.1472888,-2.1757307,14651.122,4388.2944,7278.314,11505.025,9868249.0,0.034564197,487878.0,422342.0,2.3162935
Geo0,2022-11-28,947645.0,1071384.0,40525.0,286170.0,-0.3420354,-3.3886793,10535.933,12249.772,483.959,3365.533,6259824.5,0.034846995,487878.0,216317.0,1.3229196
Geo0,2022-12-05,1551102.0,946488.0,883970.0,847167.0,-0.83943486,-2.282382,17245.178,10821.762,10556.576,9963.198,9568287.0,0.034712747,487878.0,401721.0,2.1088443
Geo0,2022-12-12,756104.0,1292861.0,614052.0,658885.0,0.10233688,-0.19429141,8406.377,14782.052,7333.153,7748.8877,12246520.0,0.035051487,487878.0,361325.0,1.8235245
Geo0,2022-12-19,1122846.0,319986.0,703092.0,690412.0,2.8546605,-1.6139584,12483.82,3658.5908,8396.489,8119.6646,11689641.0,0.035386976,487878.0,369485.0,1.8685793
Geo0,2022-12-26,644418.0,458340.0,307285.0,589591.0,-0.43191656,-3.6187859,7164.65,5240.4746,3669.6694,6933.948,6900645.5,0.035109345,487878.0,342021.0,1.7238444
Geo0,2023-01-02,1736862.0,892655.0,739283.0,1182326.0,-0.17337842,2.9674625,19310.459,10206.257,8828.69,13904.872,13918747.0,0.0350619,487878.0,444556.0,2.659566
Geo0,2023-01-09,734953.0,478142.0,521260.0,817097.0,1.9015458,3.5136514,8171.219,5466.883,6225.009,9609.557,14091311.0,0.03540542,487878.0,396319.0,2.0617154
Geo0,2023-01-16,1002953.0,160063.0,824700.0,598980.0,-1.3872818,1.0533648,11150.848,1830.0958,9848.761,7044.3687,12078090.0,0.034591388,487878.0,345343.0,1.7344495
Geo0,2023-01-23,1129408.0,1055971.0,1150361.0,0.0,0.7810588,2.294383,12556.776,12073.547,13737.88,0.0,11877428.0,0.034567147,487878.0,0.0,0.0
Geo0,2023-01-30,1021140.0,755246.0,448192.0,485149.0,-4.408105,0.8386419,11353.051,8635.178,5352.4136,5705.647,9481888.0,0.034820613,487878.0,307720.0,1.5765923
Geo0,2023-02-06,497907.0,521761.0,1109049.0,444185.0,-2.9890995,3.4359262,5535.7383,5965.605,13244.522,5223.8853,11833832.0,0.035323486,487878.0,291932.0,1.5215359
Geo0,2023-02-13,620192.0,1579978.0,840830.0,711013.0,3.4120793,4.58565,6895.3047,18064.832,10041.389,8361.944,16206597.0,0.03538255,487878.0,373818.0,1.9020299
Geo0,2023-02-20,1125725.0,644583.0,792861.0,1069906.0,-4.202929,2.6819854,12515.829,7369.902,9468.531,12582.744,12414769.0,0.034715574,487878.0,433583.0,2.4675922
Geo0,2023-02-27,1420571.0,642351.0,166935.0,839427.0,-0.76869524,-0.021167561,15793.932,7344.3823,1993.5768,9872.171,11537255.0,0.034677643,487878.0,400547.0,2.0957017
Geo0,2023-03-06,1249647.0,1372455.0,193093.0,647981.0,-2.2497947,-0.78495723,13893.596,15692.097,2305.9617,7620.65,9961240.0,0.03548587,487878.0,358666.0,1.8066418
Geo0,2023-03-13,1339535.0,732146.0,602226.0,194119.0,-5.072732,-0.4835775,14892.972,8371.0625,7191.924,2282.9573,7370863.0,0.035021972,487878.0,159865.0,1.2142683
Geo0,2023-03-20,652540.0,666499.0,479163.0,396546.0,-0.869798,-1.7553402,7254.95,7620.481,5722.277,4663.6216,7556002.0,0.03474168,487878.0,271107.0,1.4626919
Geo0,2023-03-27,574473.0,1026235.0,578855.0,246214.0,3.9432116,1.7728424,6387.0,11733.558,6912.822,2895.6262,12428641.0,0.03539973,487878.0,193194.0,1.2744392
Geo0,2023-04-03,739438.0,572895.0,720661.0,53065.0,-1.2636005,4.3432007,8221.084,6550.2505,8606.302,624.07666,13715887.0,0.03492168,487878.0,50300.0,1.0549701
Geo0,2023-04-10,1157632.0,345600.0,961233.0,10018.0,2.4186087,0.49328762,12870.571,3951.451,11479.27,117.817764,11542971.0,0.03466248,487878.0,9839.0,1.0181929
Geo0,2023-04-17,1159460.0,1156879.0,159088.0,794342.0,-3.8182082,1.6899946,12890.8955,13227.288,1899.8661,9341.944,11390516.0,0.035151236,487878.0,392194.0,2.0253804
Geo0,2023-04-24,764039.0,698017.0,630685.0,469766.0,0.368374,1.8244226,8494.598,7980.8447,7531.7876,5524.7334,12688625.0,0.03450536,487878.0,301158.0,1.5598656
Geo0,2023-05-01,1943138.0,632511.0,373431.0,884252.0,1.9959383,0.71536076,21603.84,7231.8755,4459.6006,10399.341,12847426.0,0.03534444,487878.0,407835.0,2.1681612
Geo0,2023-05-08,781207.0,922219.0,270263.0,0.0,-1.3795779,-1.911583,8685.472,10544.28,3227.544,0.0,8207384.5,0.035009917,487878.0,0.0,0.0
Geo0,2023-05-15,1713417.0,1123192.0,854360.0,426351.0,-0.4654355,-0.3552631,19049.799,12842.124,10202.967,5014.1465,9260978.0,0.034705017,487878.0,284757.0,1.4972451
Geo0,2023-05-22,905403.0,669395.0,1068480.0,484754.0,2.9213474,-5.8586345,10066.285,7653.5923,12760.038,5701.0015,7271841.0,0.035168197,487878.0,307343.0,1.5772411
Geo0,2023-05-29,943045.0,570842.0,983702.0,702858.0,-3.9852285,0.6839596,10484.79,6526.7773,11747.6,8266.037,9217271.0,0.03468569,487878.0,372326.0,1.887749
Geo0,2023-06-05,1249522.0,549468.0,814207.0,154948.0,4.620944,0.2912357,13892.206,6282.3955,9723.45,1822.2826,12167149.0,0.03489017,487878.0,132476.0,1.1696308
Geo0,2023-06-12,615985.0,486607.0,236611.0,373474.0,5.8040247,-0.3007322,6848.5312,5563.668,2825.6638,4392.2812,10131363.0,0.03462404,487878.0,261439.0,1.4285321
Geo0,2023-06-19,2010300.0,89176.0,1098510.0,279175.0,3.0554717,-0.4310307,22350.549,1019.6024,13118.663,3283.2676,10170807.0,0.03482561,487878.0,212447.0,1.3140924
Geo0,2023-06-26,1203524.0,989952.0,202312.0,295071.0,2.0441403,5.454676,13380.8,11318.712,2416.0571,3470.214,13562356.0,0.03537295,487878.0,220936.0,1.3355497
Geo0,2023-07-03,401501.0,578944.0,739200.0,712167.0,-1.1331713,-5.9318233,4463.8945,6619.412,8827.699,8375.517,4780102.5,0.035012312,487878.0,374126.0,1.9035485
Geo0,2023-07-10,1059191.0,493738.0,533870.0,456143.0,-2.5812685,-6.855961,11776.103,5645.201,6375.6006,5364.5186,3481719.2,0.034740113,487878.0,297243.0,1.5345794
Geo0,2023-07-17,1067612.0,328749.0,59878.0,412781.0,-1.2214699,0.6835498,11869.728,3758.7834,715.0771,4854.555,10127626.0,0.03468438,487878.0,278952.0,1.4797564
Geo0,2023-07-24,826696.0,398815.0,810321.0,900487.0,0.4108311,-0.96788144,9191.22,4559.8896,9677.043,10590.274,7357414.0,0.034746807,487878.0,410951.0,2.1912272
Geo0,2023-07-31,815348.0,875798.0,690521.0,435382.0,-0.16572002,-4.76622,9065.053,10013.521,8246.363,5120.357,7823665.0,0.03517147,487878.0,287992.0,1.511785
Geo0,2023-08-07,1430780.0,1180219.0,339478.0,0.0,0.19116743,-1.0282402,15907.436,13494.148,4054.1257,0.0,9387064.0,0.03538776,487878.0,0.0,0.0
Geo0,2023-08-14,1172322.0,602187.0,501179.0,1027144.0,0.11878215,1.0552766,13033.895,6885.163,5985.197,12079.837,10750497.0,0.034942072,487878.0,428376.0,2.3977628
Geo0,2023-08-21,1330867.0,781815.0,267650.0,1090940.0,2.098672,5.307834,14796.601,8938.957,3196.3389,12830.117,15763564.0,0.03526748,487878.0,435351.0,2.505886
Geo0,2023-08-28,797874.0,713031.0,635951.0,811306.0,2.3574376,1.894738,8870.776,8152.509,7594.676,9541.451,13868468.0,0.03475656,487878.0,395365.0,2.052043
Geo0,2023-09-04,530915.0,1173500.0,482697.0,822599.0,-3.2585368,0.20639402,5902.7217,13417.326,5764.4805,9674.264,11714710.0,0.034701575,487878.0,397248.0,2.0707443
Geo0,2023-09-11,1050626.0,848314.0,1108430.0,894430.0,0.080466926,2.5510674,11680.877,9699.28,13237.13,10519.04,12374235.0,0.034552798,487878.0,410190.0,2.180526
Geo0,2023-09-18,1190572.0,842283.0,692040.0,462807.0,-1.469487,1.3210948,13236.799,9630.324,8264.504,5442.8916,12561746.0,0.034980062,487878.0,298481.0,1.5505409
Geo0,2023-09-25,1034010.0,1198616.0,814320.0,290680.0,2.1296947,-1.5601637,11496.14,13704.492,9724.8,3418.5732,11952548.0,0.034541145,487878.0,218330.0,1.331379
Geo0,2023-10-02,1367110.0,990152.0,382212.0,701652.0,2.5198872,-1.6671612,15199.551,11320.999,4564.4653,8251.854,10436357.0,0.035289545,487878.0,372399.0,1.8841404
Geo0,2023-10-09,1034707.0,1006629.0,788566.0,793994.0,4.427447,1.2317433,11503.89,11509.39,9417.239,9337.852,14820740.0,0.034517653,487878.0,391983.0,2.0255828
Geo0,2023-10-16,1258784.0,717842.0,657395.0,494959.0,-1.0613412,0.3988533,13995.181,8207.516,7850.7646,5821.0186,12038764.0,0.035287432,487878.0,311396.0,1.5894841
Geo0,2023-10-23,1333608.0,19089.0,823943.0,570348.0,0.40299273,-0.75959146,14827.075,218.25592,9839.72,6707.6387,10330931.0,0.034729216,487878.0,336367.0,1.6956122
Geo0,2023-10-30,1403198.0,693395.0,745423.0,0.0,-1.9822719,0.30661535,15600.778,7927.999,8902.016,0.0,10918007.0,0.035065,487878.0,0.0,0.0
Geo0,2023-11-06,1063194.0,460928.0,91770.0,838886.0,-5.7441087,2.2887158,11820.608,5270.065,1095.9388,9865.809,9877489.0,0.03518217,487878.0,401051.0,2.091719
