time,conversions,revenue_per_conversion,Channel0_impression,Channel1_impression,Channel2_impression,Channel3_impression,Channel4_impression,Channel0_spend,Channel1_spend,Channel2_spend,Channel3_spend,Channel4_spend,Organic_channel0_impression,competitor_sales_control,sentiment_score_control,Promo
2021-04-19,446892644.6,0.02001320215,20987050,10287056,1303124,39119396,26850814,153892.22461,99179.88988,9683.416000000001,304851.215,209219.16861,5800038,-1.421829563705529,-0.9911429561095225,0.2909615624674047
2021-04-26,446168491.5,0.019997513575,32721647,22413235,0,51764884,22663633,239938.7805,216091.19071,0.0,403395.48674,176593.02525,9683250,0.15569538978547995,-1.8596111497336791,0.2527185793727882
2021-05-03,415693589.5,0.019998294399999998,41690748,4970780,6224564,72170268,43131568,305706.71055,47924.440783,46254.26432,562411.3856,336077.36277,22021301,-0.06376271728272744,-0.39501316755494886,0.4476292834330928
2021-05-10,433289821.6,0.020015441449999997,7851189,26950502,7470685,96670719,37692690,57570.595167,259836.0294,55514.095296,753339.4913,293698.1069,25504001,-0.1435015708018406,-0.03897503467258585,0.7061598902508418
2021-05-17,423518207.6,0.020029124775,24068825,34650278,9308505,76949051,26845617,176490.02806,334071.351656,69170.79752,599651.677,209178.67565,24452641,-0.5167207864229963,-0.05579364800981211,0.8045111892071731
2021-05-24,435393727.2,0.02000034365,33899092,7764352,1153694,45123891,12497175,248572.65840000001,74857.91473199999,8573.01304,351643.28635,97376.88287,10618542,-1.0143123588375944,-0.39673146044060126,0.19361640417334325
2021-05-31,424116955.2,0.02001419775,29650250,20997265,3306149,57501044,36937240,217417.07335,202439.4917,24567.743300000002,448096.4585,287811.71187,7426107,-0.6740585999016252,-0.22741225384842148,0.7118830388902474
2021-06-07,438237120.0,0.020016841875,30096729,27484493,9678321,95433081,35712590,220690.97830000002,264984.35487,71918.87137,743694.7743,278269.34286000003,32916718,-0.24836646665887585,0.6325749245735176,0.32975457675075753
2021-06-14,386220238.3,0.020030693199999998,37867419,17209889,10286473,73956524,60355017,277671.29779,165924.52525,76438.002594,576331.4001,470280.96259999997,24380284,0.7124556524516577,-0.00971278117218329,0.24266068021215687
2021-06-21,417462209.7,0.0199718204,40406653,23761964,3657618,49686832,36983160,296290.801279,229094.5972,27179.4836,387201.55942,288169.51086,13287450,-0.708907601563505,-0.40144850002746174,0.5669428921238719
2021-06-28,376825529.4,0.019999352575,32338516,14640141,12671517,81359187,49766661,237129.383216,141148.991,94161.08475,634019.1625,387777.42218,27412937,0.991539234700536,-0.4575176666675575,0.5646587214736254
2021-07-05,451058754.1,0.019994859225,34669776,13442118,6341618,70212703,49332817,254223.86784,129598.5719825,47124.085300000006,547156.3948,384396.9476,34304620,0.17199450491348756,-0.6686487809225445,0.8102309932462288
2021-07-12,411343011.9,0.019996768875,27798530,10871099,2102220,50181638,26169584,203838.92284,104810.781498,15621.437584000001,391057.50354,203911.08187,5705319,-0.3384359095884367,-0.6636370189369494,0.1614855555517844
2021-07-19,416730651.5,0.0199982616,12723370,15498750,975809,53019560,29325287,93296.94893,149427.03892,7251.16264,413172.9748,228500.04475,5181078,-0.6116203209655258,-0.41528358532013576,0.17863846192958058
2021-07-26,404064690.2,0.020000927800000002,21985143,37955814,16801166,60249472,46538633,161210.96674,365940.78936,124848.19304,469514.53071,362624.9116,31340192,0.3056208095281453,0.2949039174056678,0.07157356291295547
2021-08-02,376644411.6,0.020011471425,28510761,24566348,23661255,66660925,40250857,209061.51624,236849.84925,175824.99578,519477.95744,313631.11675,21536515,0.56456077093301,-0.3367942822243225,0.28350864706971607
2021-08-09,392341101.3,0.020001798125,57390232,14209019,17746943,111369983,37786967,420826.6867,136992.44099,131876.18873999998,867888.5165,294432.70464,14332732,0.32003007058222466,0.6727810415905502,0.5572338710232154
2021-08-16,451847851.3,0.0200024569,21088976,14332068,634615,70506685,28061393,154639.62304,138178.7874,4715.77634,549447.3414,218651.893266,13802156,0.0024627309054022634,-0.4655392967277039,0.13373305118864356
2021-08-23,383734720.8,0.020020269825,30535128,29635247,799872,74486603,42992155,223905.63924,285720.277147,5943.7883999999995,580462.21464,334991.0664,13849286,0.22213912657320597,-0.6930732412721673,0.48047509563460783
2021-08-30,415555497.1,0.0199969074,48690338,41285997,46085569,136784864,73713329,357032.7691,398047.856,342458.3784,1065942.6207,574367.7418,55613220,1.012887223448666,1.2046461118658525,1.119535286773263
2021-09-06,442176135.9,0.019989998475,28134918,24151441,2972417,57577022,28654619,206305.5639,232849.63344,22087.80545,448688.5491,223274.25919,10069902,-0.29373810419460294,-1.0171043224941931,0.12119731100282893
2021-09-13,409377604.6,0.0200243735,34703115,29672930,25427741,102207893,59746839,254468.33343,286083.59077,188951.62054,796489.8094,465542.0871,3792836,0.8749610878382204,0.47046825307742074,0.19275029746297193
2021-09-20,397537134.8,0.020017474375,26371358,19338861,4256331,84437523,40561324,193373.86573,186450.43865,31628.4738,658008.1452,316050.24976,24621414,-0.11004244667642088,-0.013968029080049849,0.4460278395602747
2021-09-27,420019466.7,0.020034788075,26781887,21354662,6730542,55410323,58821087,196384.16083,205885.24086,50014.14928,431803.80843,458328.7082,19233870,0.012176852438905837,0.5799120299742474,0.2136015613152134
2021-10-04,410257013.9,0.019993612625,52698972,22392599,15924551,99857745,51609929,386426.97474,215892.23347,118334.1349,778175.4680999999,402140.0048,32952113,0.8990397784201164,0.49554376037767384,0.1600756218521888
2021-10-11,440425301.0,0.02001577485,57955175,46075240,19760594,105825313,74806027,424969.2535,444222.0588,146839.4802,824679.7952,582881.9508,34623579,0.45200165344719206,0.6197585849118458,0.8888290329781992
2021-10-18,412639541.0,0.020009563775,45311017,18481251,25306594,81294133,24309768,332253.14287,178182.01977,188051.38689999998,633512.2053,189419.56283,19706619,0.22946534885977724,-0.2758652261907832,1.3578658013316651
2021-10-25,397786697.5,0.019978845675000002,31121147,22983590,3355692,68711116,56020795,228202.7521,221590.11103,24935.89414,535454.7654,436509.08175,17498595,0.5006621099805996,-0.19833832863971182,0.5306827382718824
2021-11-01,365084230.9,0.02001351505,51643403,12552392,3144824,77860596,22334352,378686.7777,121020.51831,23368.949529999998,606755.2006,174027.29681,14494791,-0.09089754193307312,0.9364260879693996,0.011983222243482453
2021-11-08,401990134.4,0.020007128025,38479433,13199947,16849328,95589703,48470939,282159.0277,127263.746,125206.08335,744915.3025,377681.271134,33539051,0.43380302168118035,0.8299020110265077,0.6324760499524493
2021-11-15,443520642.3,0.019998760225000002,39773538,36258985,14609512,107579564,35491479,291648.34007,349581.2748,108562.180775,838350.3814,276546.46399,45416223,0.28703309744821204,0.8950584564929118,0.6381142238557629
2021-11-22,460242422.1,0.020004230300000002,63865539,51606260,39985543,140264489,78211904,468308.3232,497547.8993,297129.54881,1093058.8011,609420.2434,60934429,1.1625510492639246,1.9517616047964972,0.7115031160218597
2021-11-29,436766445.3,0.020009741975000002,37239276,12934715,13485574,83084934,40317153,273065.2994,124706.58254999999,100210.28074,647467.629,314147.69263,31175174,0.1909966537582924,0.1949418990984804,0.2351493225602872
2021-12-06,380646998.4,0.02000807095,36926948,15715966,12540371,56670929,50700701,270775.08648,151521.26817999998,93186.548956,441627.5094,395055.38234999997,13385156,0.6705647817415737,-0.3926279372050109,0.5362652013155444
2021-12-13,457068160.1,0.020002086575,53125175,43157966,20325418,118572933,56570996,389552.2081,416095.9421,151036.64526,924019.9457,440796.19550000003,53178746,-0.4075315029535498,1.9645190931027148,1.275391769476381
2021-12-20,448932602.3,0.020010707024999998,39780517,20477863,4502265,82534612,26030524,291699.514225,197431.821224,33455.991500000004,643179.0647999999,202827.5423,22853271,-0.4543605955517144,0.3906489861442201,0.38115906346697265
2021-12-27,468607095.2,0.020002944449999997,56955508,10364538,6295897,69118729,49180837,417638.9752,99926.9105055,46784.334263,538631.2275,383212.7372,26987745,-0.25218030575988004,-0.2549159591072838,1.1103020431761725
2022-01-03,397425449.7,0.019953533625,29069412,33633389,13334164,81230587,67782952,213157.95093,324267.29028,99085.1649,633017.005,528158.76779,28909420,1.148849723166975,-0.10530137118617361,0.390880231502782
2022-01-10,464210726.8,0.0200097685,37742531,15599044,3502472,65900135,45895113,276755.5311,150393.99457,26026.6045,513549.245867,357610.663,10126560,-0.8766300432855754,0.03070606119798658,0.42854533074087153
2022-01-17,418249016.4,0.019987745674999998,25239585,7997437,8828843,79450790,50057109,185074.8877,77105.1413,65606.46435,619147.3363,390040.56997,11875151,0.3790372885848166,-0.36905405219129733,0.23486741220209684
2022-01-24,379049975.2,0.020011674099999998,45396895,25728838,5018136,53511785,12610403,332882.8602,248057.68398,37289.388596,417008.8063,98259.1463,31248641,-0.9885865131703464,0.7570898237358304,0.4025594665879237
2022-01-31,425372254.7,0.02003102575,23648430,18003679,1775034,53215367,15103737,173407.38946,173577.63683,13190.1436,414698.8612,117686.982167,5201778,0.12529257832423085,-0.4501063933798771,0.04971492779391455
2022-02-07,412625599.0,0.019991759025,23287900,34216814,2966126,77965813,34514732,170763.722262,329892.222704,22041.05856,607575.1466,268935.74054,23485149,0.5758090931872707,-0.3776654342152055,0.6011246493585806
2022-02-14,416575613.4,0.02001824865,41760544,20874141,1333249,69722478,21788484,306218.50713620003,201252.4255,9907.2724,543336.14384,169773.94154,19396632,-0.9281990333767847,0.3745103329094594,0.2612539100284142
2022-02-21,419568520.56,0.019986832274999998,17268212,10615219,16567535,85485252,47445628,126623.01747,102343.78375,123112.09953,666172.9419,369692.13792999997,17366744,0.5380098578667754,-0.14573029731559745,0.38627786932677594
2022-02-28,478438477.8,0.020016180025,42361822,20981785,2297108,61206893,27387866,310627.5113,202290.2471,17069.63631,476975.55017,213403.8277,21820889,-0.7587929923248604,-0.06410433046771268,0.25159511133050333
2022-03-07,446205674.2,0.0199944383,37684514,11075519,708819,24278955,27394769,276330.10694,106781.64271,5267.180409999999,189202.02677,213457.61849,10664458,-0.6133281099588155,-0.7786580715684722,0.14324435894576937
2022-03-14,435049695.7,0.01999544855,28666441,19382729,11545528,51621472,43464043,210203.078,186873.3788,85793.94597,402277.89356,338667.98157,30281227,-0.11043850672133079,-0.7744515800873141,0.14998364546399418
2022-03-21,433503433.5,0.020005109025000002,20880842,15378375,3841894,59998449,28498575,153113.43336999998,148266.47277999998,28548.824875000002,467558.342,222058.37734,14906870,-0.6031744195051092,-0.2723520627411171,0.07645726682169864
2022-03-28,490098891.9,0.019990290675,8034289,6075874,168149,34220809,9272952,58913.2175,58578.9086,1249.5024,266677.30375,72254.022826,24485016,-1.4016529777839457,-1.4253932635580768,0.5115973869959247
2022-04-04,439631463.8,0.020009689350000002,39714334,18060126,2484896,46800215,20889808,291214.21427,174121.856,18465.07423,364706.60834,162771.5375,15293367,-1.3389297549622332,0.25960222041983494,0.35718022904363894
2022-04-11,413251756.4,0.019995170975,34489131,13743222,3271436,54283178,30333603,252899.24808,132501.5857,24309.79324,423020.14762,236356.75075,26468471,-0.16192115775649144,-0.3743496432316101,0.3802827659379124
2022-04-18,358719008.52,0.0200018373,15537457,6543876,2829146,42548425,8554298,113931.87001,63091.024829999995,21023.170000000002,331573.0856,66654.33314,5119269,-0.5886783741210434,-1.3603820919974146,0.09131307223839237
2022-04-25,437650207.3,0.0200047443,18498955,12098306,2517149,53163326,27057130,135647.71496,116642.568396,18704.74427,414293.3194,210826.76577,400256,-0.42530103259446594,-0.9339168611052677,0.22290894526295446
2022-05-02,398075186.4,0.020005745875,28029034,8906543,6575438,66371009,23947028,205529.146498,85870.04366,48861.58287,517218.6844,186593.12494,17874653,-0.37147095255818446,-0.5358082125588682,0.5251909151496437
2022-05-09,363012482.6,0.0200246236,19962902,17497977,6157061,66723455,43477744,146382.43297,168702.0488,45752.6551,519965.2404,338774.7369,12806314,0.4304709920740649,-0.5277476776180342,0.06813297091097177
2022-05-16,462894355.2,0.020009758324999998,35961865,9399248,2538434,47904013,15908786,263698.40044,90620.32535,18862.9106,373308.33449,123959.85489999999,12986077,-1.951844745800397,-0.21087570844617257,0.7229774917163949
2022-05-23,449657129.4,0.020023861425,15694210,25392004,8511493,43057851,39705245,115081.29612,244810.19207,63248.2618,335542.9629,309379.76175,11773841,-0.09878708825350573,-0.7261179129521539,0.32873587662808473
2022-05-30,407432998.6,0.019998936875,17942423,19093210,8476313,82899417,39562831,131566.82113,184082.05723,62986.840820000005,646021.9262,308270.0872,15120370,-0.08765267825174743,0.17081018722633637,0.5444805971078283
2022-06-06,418494431.0,0.020024119575,38309543,16136671,1135750,52173850,37132855,280913.27096,155577.38077,8439.672584,406582.492485,289335.92522,25544316,-0.8889435010187698,-0.7166991206969008,0.5327608785168254
2022-06-13,417300152.3,0.019991566925000002,57879373,22816439,9945195,62613022,40906951,424413.4213,219978.571,73901.99249,487933.29704,318743.34577,41357576,-0.7528007150013709,0.5563272980639948,0.5533749268455908
2022-06-20,423331650.2,0.020001405875,34783666,29663216,8468335,59209155,50637183,255058.99287,285989.93496,62927.55735,461407.501,394560.4605,15546334,-0.28546891038500155,-0.0559203373128135,0.6461191669917211
2022-06-27,468217296.2,0.020009314275000002,45714452,25844800,721718,46986522,15461809,335211.41823,249175.70028000002,5363.031794,366158.4737,120477.0491,15740043,-1.1821086548132955,-0.5209542771755842,1.0690681598560072
2022-07-04,442660937.1,0.02002150995,36405662,13838193,12102396,70578206,36530837,266952.640604,133417.22323,89931.989714,550004.70594,284645.0505,16361648,0.33130500717529787,-0.3585839467208752,1.2863490701720444
2022-07-11,476180166.2,0.019996125325,35670776,18465476,11781495,89419991,65738949,261563.92672,178029.931594,87547.39854,696835.7191,512232.0849,28993792,-0.09769298542549121,0.4588845494254161,0.8567603616520121
2022-07-18,422547022.3,0.019982939999999998,32601902,18488857,14974116,56773688,43679399,239060.71904999999,178255.35231000002,111271.52432,442428.2957,340346.015538,16146741,-0.685624040315547,0.0727666284589761,0.5176675993905004
2022-07-25,455353675.0,0.02000671855,32303675,11847423,0,33892413,15912282,236873.90705,114223.7484,0.0,264118.1675,123987.09389,13432496,-1.4293007536835853,0.05048082404422295,0.25289001530314154
2022-08-01,391486853.1,0.020009857225,41881873,20565648,12579846,101259536,37442589,307108.18126,198278.17627,93479.88406,789099.4125,291749.34156000003,37152599,0.2760340652144158,0.7927136902421855,0.4419226424560894
2022-08-08,437656004.0,0.020008231625,44836881,13934117,6558650,58996907,41197031,328776.4346,134342.04882999999,48736.8332,459753.4836,321003.62187000003,11728677,0.08304388464384618,0.15209859647621218,0.4291888419951447
2022-08-15,424651482.0,0.019977519175,31352445,11609269,2468974,58605079,22659172,229898.7993,111927.65159,18346.75914,456700.0321,176558.2651,15211029,-0.26576640068254315,-0.5144617908898287,0.3896134495425329
2022-08-22,439008312.7,0.020026374675,46308063,46200406,11440768,78761142,43255585,339564.2038,445428.8165,85015.48245,613773.0218,337043.69333,22541259,0.2793803025066218,0.3009814702461409,0.6038237802077505
2022-08-29,432010278.3,0.020042618074999997,48626546,27200101,21023976,83903842,66613147,356564.9963,262242.47006,156227.575258,653849.2515,519043.751875,32310206,0.5341156873693546,0.6692723536968087,0.8186572416023367
2022-09-05,413858411.0,0.020007651600000002,49145820,49233120,7005643,100106263,37813900,360372.6945,474667.9029,52058.40333,780112.1316,294642.56857,24897257,0.18265830752813142,0.4051856505468656,0.7265362642880504
2022-09-12,384346242.1,0.02001087445,26630793,14180032,22470043,91671969,41078212,195276.231803,136712.97273,166973.1918,714385.0304,320077.79697,24314255,0.5794104161723941,0.6579041940986607,0.46080829364129844
2022-09-19,340283293.3,0.0199845207,25819679,23786661,24617226,79262688,54870093,189328.55737,229332.70493,182928.74753,617681.4794,427542.913,28236186,1.0166402851965246,0.21272711367081945,0.24320573542357118
2022-09-26,422356788.44,0.019990955975,46187469,13308995,22192295,113267532,32675486,338679.91882,128315.10250000001,164909.26476,882675.7967000001,254604.4956,27870739,0.7811850453941039,0.27306559211543335,1.0483155746899881
2022-10-03,436557390.1,0.0200148615,38647363,39033480,12164571,95572213,44865036,283390.40946,376330.8232,90394.00552,744779.0113,349584.39523,29506776,0.4410162413276917,0.6800916199224896,0.6881776007029996
2022-10-10,395546849.9,0.019977650024999998,36584546,25822879,27302794,102514340,83707898,268264.34685,248964.3552,202884.99804,798877.8975,652244.5402,25495510,2.1308640212408845,0.42777740063571046,0.43352263115374945
2022-10-17,468980313.04,0.020001093025,31606359,15867512,35582045,101564587,67541769,231760.67951,152982.35662,264407.48728,791476.6313,526279.4932,30042925,1.2085720009948568,0.3410907844831335,0.6207062943748589
2022-10-24,438755615.5,0.02000630465,28919496,23085719,12216274,79601121,20063214,212058.65629,222574.76585,90778.20922,620318.8334,156330.78901,22396383,-0.2245905794554243,-0.11001100608462953,0.749831614444744
2022-10-31,458512330.7,0.020011745825,56088853,40274500,22896327,85339517,31575940,411284.0278,388295.77885,170140.8744548,665037.2516,246036.93039,35976042,0.23171684341528215,0.8178543109735923,0.855984837123236
2022-11-07,413783700.46,0.019982020524999998,34103267,27341868,17489500,117318308,76748448,250069.81286,263609.281455,129963.15109700001,914242.8541,598017.1219,33692309,1.447404556976953,0.6797989736809789,0.36060545453446585
2022-11-14,431444319.04,0.019983640224999998,49525531,21676595,16391312,107591909,57591004,363157.00524,208989.06981,121802.59946,838446.5894,448744.01257,39108444,0.6483357113023196,0.9561287089447655,0.7074068120553036
2022-11-21,433804494.7,0.019982581925,61548293,26824427,15206764,113643673,52154061,451316.5959,258620.5128,113000.31169,885607.0191,406379.82966,30819856,1.2038652387750792,0.19706142618328437,0.7341958700748015
2022-11-28,410751335.86,0.020006870825000002,29941684,26764504,5570341,104589097,65904739,219554.07926,258042.7799,41392.78274,815046.1434,513523.897,19665236,0.874736359494488,0.2960524362034235,0.07852083604515252
2022-12-05,437721226.2,0.01997599145,43123348,30985062,15666836,95164680,34233401,316211.5699,298734.15901,116419.073806,741603.1705,266743.63453,14430693,0.06329635499519955,0.6558361521875317,0.3473158089661142
2022-12-12,435501155.9,0.020007279325,24888328,27589882,6749965,57784302,37973371,182499.21829,266000.44149,50158.47965,450303.8477,295885.15089,28250076,-0.01223685265141814,-0.34245336202124044,0.8183151548985118
2022-12-19,402093818.4,0.019983933525,26631740,22632097,16353667,71031443,22455986,195283.17408,218201.28607,121522.8647,553536.7057,174975.05583,4333814,-0.11116052170824359,-0.013577966239715002,0.2661640395818507
2022-12-26,413991778.8,0.019998525950000002,33908928,24253265,14775125,52689037,37038424,248644.78397,233831.3415,109792.83639,410597.26108,288600.12696,18982310,0.1710895280416669,-0.0356889276748815,0.4091080095524737
2023-01-02,392799163.2,0.0199835346,46965081,26900187,18335772,76652271,49663332,344381.93619,259350.93192,136251.7354,597338.9149,386972.2924,22909271,0.7644526069253782,-0.11405442597054105,0.7669649826710256
2023-01-09,404704849.6,0.02002361735,31050488,28628370,15703062,86083810,42264512,227684.6329,276012.7434,116688.26668,670837.4124,329321.340167,33792276,0.28931772956133367,0.5511769781077522,0.5777950922740039
2023-01-16,447131512.9,0.019978798824999998,18399126,14076635,1269624,45555093,29194334,134915.697722,135716.09618,9434.480019999999,355003.5726,227479.67369999998,13869979,-0.5963476105968245,-0.2642856329475316,0.13791086074003853
2023-01-23,355303780.5,0.019980607275,19536574,7628407,10817620,77656655,55866424,143256.28843,73547.23838,80384.9163,605165.9303,435306.23110000003,6830901,0.35622026890017405,-0.4564930042516822,0.4255559728127739
2023-01-30,431888597.2,0.0200100943,20891495,10261883,1819631,58556976,31405341,153191.54863,98937.18877000001,13521.54039,456325.175,244707.6411,3765339,-0.3086249126786856,-0.2800086129429211,0.040112216754649765
2023-02-06,420344398.2,0.020001313075,29496626,23933108,8159535,60735079,20965661,216290.590667,230744.64075,60632.8867758,473298.7881,163362.57966000002,34393968,-0.4839258008503375,0.3253741796968159,0.3129454889673099
2023-02-13,434794872.3,0.0199914358,63116149,27481622,3462390,34774505,32472132,462813.2451,264956.6815,25728.75916,270992.1722,253019.98416,10241250,-0.8481843522399767,0.5019755355279523,0.4371520347079552
2023-02-20,418606859.46,0.02001221745,40428555,24031939,13139544,75931359,34326116,296451.3995,231697.48440000002,97638.9587604,591720.96614,267466.0637,19481314,0.34008288928848107,-0.1717519534655032,0.4875441323390158
2023-02-27,474173344.8,0.019999447775,28899707,14656168,4113487,44913666,28897420,211913.55142,141303.51012,30567.01083,350005.0372,225166.1433,12629449,-1.332575307769216,-0.34879675845564706,0.6087936961782635
2023-03-06,372776720.7,0.020014458775,34286684,2729719,357769,44112835,30628198,251414.76325,26317.85297,2658.55454,343764.2873,238652.214525,7656700,-0.1730121532854197,-0.9532437012857637,0.07026780101317696
2023-03-13,444184584.6,0.019989405575,33132863,16124122,1508145,53530503,17749608,242954.11161999998,155456.39296,11206.912,417154.6714,138303.37626957,5536642,-0.8283877533326333,-0.7748732100144207,0.23613770502993708
2023-03-20,422859796.4,0.020004630375,23101258,5793822,41056,17967345,6971125,169395.1275,55859.57967,305.08405,140016.6534,54318.39016,8719764,-1.6493664014867333,-1.427493019321458,0.1313164043154915
2023-03-27,405455183.6,0.0200170549,17796528,12927919,3113695,75408132,35605901,130497.014,124641.062167,23137.631875,587643.5457,277438.03645,6676915,-0.6776510119609682,-0.18169777907633883,0.31533061368069004
2023-04-03,456187271.5,0.019999863149999998,50077640,28080137,882925,68871533,27470520,367205.4731,270727.10192,6560.9490399999995,536704.86951,214047.86804,8171651,-1.2269761957128056,-0.02930655959747914,0.5267229725831272
2023-04-10,415279396.7,0.0199997754,43705589,23033373,3941281,64237866,23197657,320480.9815,222070.08233,29287.3616,500595.44174,180754.09268,23698266,-0.6135323897208247,-0.09680095444364399,0.794686756153635
2023-04-17,404577123.8,0.0199911456,32482779,12473553,2033139,71118849,33228300,238187.2262,120260.41327,15108.10264,554217.84173,258911.97819999998,3897517,-0.9833952536704416,-0.3751413488625077,0.43337421906957707
2023-04-24,418866915.7,0.020011823275,14281969,20005005,1953640,36049357,24900806,104725.72429,192872.8866,14517.350699999999,280926.88927,194024.87897,6242034,-0.9236872264691152,-0.5545766958831199,0.02763548621017445
2023-05-01,423768187.1,0.020003213775,39276777,5083642,17291605,79150230,37916602,288005.73428,49012.56942,128492.607982,616805.11652,295442.80838,22713984,0.7475174517143076,-0.3561597405292997,0.4689006398519644
2023-05-08,405501485.8,0.020005955725,18740407,19359303,565623,44878108,34653949,137418.21585,186647.521883,4203.10184,349727.93747,270020.50615000003,6351084,-0.6728586296705414,-0.8876118921076978,0.22969520698594417
2023-05-15,491287369.3,0.02000988135,26861894,14434710,0,29215183,11703561,196970.83298,139168.38115,0.0,227669.26002000002,91193.1132276,6071050,-1.336703402012677,-0.9470040984321892,0.5597430994762299
2023-05-22,436536075.6,0.0200212825,36409288,14342450,7639959,77081119,23535340,266979.23082,138278.88014,56771.95674,600680.86245,183385.28903,11054982,-0.7149640211062057,-0.14807629032592917,0.5692945630599506
2023-05-29,445456666.9,0.020000001649999998,29137704,15482960,3675346,42672955,56653697,213658.7176,149274.800075,27311.21823,332543.53101,441440.599,5380475,-0.49763336867133745,-0.9369957062671397,0.9719633749969206
2023-06-05,397094115.8,0.019971982775,40594018,24535728,8685698,80787598,35999359,297664.69333,236554.63435,64542.76517,629564.8658,280503.82031,29549280,0.17087151945116472,-0.4578137562897652,0.6873976696595192
2023-06-12,415884328.0,0.020008752625,36213562,7405176,5573877,40569550,18687923,265544.02617,71395.01605,41419.059504,316152.02889,145614.64414,13488176,-0.8251976271955689,0.11165681959847515,0.28772789315747144
2023-06-19,440957902.9,0.019989997325,40011800,6781519,0,45839931,10331408,293395.44907,65382.19506,0.0,357223.271,80501.4192,14097959,-1.0542132027258753,-0.7693192287198719,0.2208105619451449
2023-06-26,423727018.7,0.020035995,36439449,33508424,27315081,81271328,62599149,267200.38925,323062.47472,202976.30043,633334.4975,487767.0279,41919056,0.6518112611565253,0.1945042026237272,0.7856379444937611
2023-07-03,395530501.2,0.02000089195,25074197,7309527,3425295,42000192,41360216,183862.1473,70472.84125,25453.10805,327300.79545,322275.14771,10330355,-0.26601455466642043,-0.31883355105205846,0.21810758349931028
2023-07-10,455350813.8,0.0199955229,48033400,11076463,8653431,63886816,10130388,352215.62366,106790.74384,64302.990659999996,497859.7687,78935.08883,10219351,-0.6817228421896641,0.4660479936583953,0.6718147818094132
2023-07-17,425833435.3,0.020005965,18405557,24614315,6218609,48009106,32588413,134962.85535,237312.3132,46210.0127,374127.30472,253926.034218,2976376,-0.5294513272238097,-0.2738890522936199,0.08909462659895051
2023-07-24,416409607.5,0.0199988061,30464556,11790346,16934951,57452436,39860107,223388.15516,113673.45335,125842.34134,447717.67,310586.4304,27956765,-0.03868932587010417,0.20349442445160987,0.5854238211356257
2023-07-31,405198967.4,0.019980921725,32474378,11539273,10450243,61270249,49639429,238125.62226,111252.80239,77654.96712,477469.2746,386786.0392,27976746,0.36266564229488935,0.3330497459447731,0.38366954493805444
2023-08-07,405401276.9,0.02003009305,57701526,15406002,10176502,106083689,36584130,423109.3131,148532.8333,75620.81681,826693.2718,285060.306,40139665,0.3670108274413325,0.025526169847978085,0.9869633136446406
